tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,0,0,0,0,0,1,8,4,9,-1,2.75,-16.5,1.5,45,41,26.4136229,-92.23247854,118.6461014
0,2,0,2.8,0,0,1,8,4,11,-4,1.5,-12,0,45,41,26.4136229,-91.59082043,118.0044433
0,3,0,4.2,0,0,1,8,4,6,1.6,2.8,-14.8,0.748331477,45,41,26.4136229,-88.32110383,114.7347267
0,4,0,5.6,0,0,1,8,4,8,1.4,2.8,-11.2,0.979795897,45,41,26.4136229,-87.57205996,113.9856829
0,6,0,8.4,0,0,1,8,4,8,0.6,3,-14,0.632455532,45,41,26.4136229,-89.42758529,115.8412082
0,7,0,9.8,0,0,1,8,4,6,1.8,2.6,-15.4,1.019803903,45,41,26.4136229,-88.73989996,115.1535229
0,8,0,11.2,0,0,1,8,4,7,2.2,3,-13.4,1.019803903,45,41,26.4136229,-87.57325411,113.986877
0,9,0,12.7,0,0,1,8,4,6,2.4,2.8,-14.8,1.326649916,45,41,26.4136229,-88.27487075,114.6884936
0,10,0,14.1,0,0,1,8,4,7,3,2.8,-13,1.414213562,45,41,26.4136229,-87.31629292,113.7299158
0,11,0,15.5,0,0,1,8,4,7,1,3,-16.25,1.299038106,45,41,26.4136229,-89.34028371,115.7539066
0,12,0,16.9,0,0,1,8,4,11,-2.5,3,-12,0,45,41,26.4136229,-91.59082043,118.0044433
0,13,0,18.3,0,0,1,8,4,8,3.4,3,-11.2,0.4,45,41,26.4136229,-87.57205996,113.9856829
0,15,0,21.1,0,0,1,8,3,13,5.6,4,-11,0.632455532,45,41,26.4136229,-83.82377348,110.2373964
0,16,0,22.5,0,0,1,8,4,9,-2,3,-14,0,45,41,26.4136229,-90.90467431,117.3182972
0,17,0,23.9,0,0,1,8,4,9,-2.333333333,3,-13.66666667,1.699673171,45,41,26.4136229,-90.72763375,117.1412566
0,19,0,26.7,0,0,1,8,4,9,-3,3,-14,0,45,41,26.4136229,-90.90467431,117.3182972
0,21,0,29.5,0,0,1,8,4,10,-2,3,-12.5,1.5,45,41,26.4136229,-91.11465649,117.5282794
0,22,0,30.9,0,0,1,8,4,9,0.2,3,-10,0.632455532,45,41,26.4136229,-88.56035078,114.9739737
0,23,0,32.3,0,0,1,8,4,6,3.4,3,-12.4,0.489897949,45,41,26.4136229,-86.42660389,112.8402268
0,24,0,33.8,0,0,1,8,4,4,4.2,3,-16.6,1.2,45,41,26.4136229,-86.66267226,113.0762952
0,25,0,35.2,0,0,1,8,4,6,4.4,3.4,-13.2,1.469693846,45,41,26.4136229,-87.05053281,113.4641557
0,26,0,36.6,0,0,1,8,3,11,6,5,-14.6,1.356465997,45,41,26.4136229,-84.39246284,110.8060857
0,27,0,38,0,0,1,8,4,5,3,2.6,-15.8,1.720465053,45,41,26.4136229,-87.43058471,113.8442076
0,28,0,39.4,0,0,1,8,3,10,5.8,4.8,-16.8,0.979795897,45,41,26.4136229,-84.33322708,110.74685
0,29,0,40.8,0,0,1,8,2,11,11.2,7.6,-17.2,0.748331477,45,41,26.4136229,-79.47106948,105.8846924
0,30,0,42.2,0,0,1,8,3,5,11.8,7,-12.4,0.489897949,45,41,26.4136229,-78.57016469,104.9837876
0,31,0,43.6,0,0,1,8,3,5,10.4,7,-15,0,45,41,26.4136229,-79.85360503,106.2672279
0,32,0,-1.4,0,0,1,8,4,4,5.2,3,-14,0.632455532,45,41,26.4136229,-84.75535193,111.1689748
0,33,0,-2.8,0,0,1,8,3,5,12,7.2,-14,0,45,41,26.4136229,-79.44436126,105.8579842
0,34,0,-4.2,0,0,1,8,2,11,13,8.4,-15.6,0.8,45,41,26.4136229,-78.74246051,105.1560834
0,35,0,-5.6,0,0,1,8,4,8,3.2,2.6,-13,1.095445115,45,41,26.4136229,-88.77401967,115.1876426
0,36,0,-7,0,0,1,8,4,7,3,3,-12.4,1.2,45,41,26.4136229,-86.93313526,113.3467582
0,39,0,-11.2,0,0,1,8,4,9,-0.75,3,-14,1.58113883,45,41,26.4136229,-90.90467431,117.3182972
0,40,0,-12.7,0,0,1,8,3,11,6.4,5.2,-14.2,0.4,45,41,26.4136229,-84.04149043,110.4551133
0,42,0,-15.5,0,0,1,8,4,4,4,3,-17.4,1.019803903,45,41,26.4136229,-87.24404417,113.6576671
0,43,0,-16.8,0,0,1,8,4,9,1.6,2.8,-13.4,0.489897949,45,41,26.4136229,-90.58600129,116.9996242
0,44,0,-18.3,0,0,1,8,3,11,6.2,4.2,-14.2,0.979795897,45,41,26.4136229,-84.11086678,110.5244897
0,45,0,-19.7,0,0,1,8,4,6,1.6,2.8,-15,0.632455532,45,41,26.4136229,-88.47841892,114.8920418
0,46,0,-21.1,0,0,1,8,4,7,2.8,3,-14.2,1.326649916,45,41,26.4136229,-88.07729942,114.4909223
0,47,0,-22.5,0,0,1,8,4,10,1.2,2.8,-9.8,0.4,45,41,26.4136229,-89.60317543,116.0167983
0,48,0,-23.9,0,0,1,8,4,6,5.8,4.2,-11.6,0.489897949,45,41,26.4136229,-85.76850075,112.1821236
0,49,0,-25.3,0,0,1,8,4,7,1.8,3,-15.8,1.469693846,45,41,26.4136229,-89.06259566,115.4762186
0,50,0,-26.7,0,0,1,8,4,5,4.2,3.4,-12.6,0.8,45,41,26.4136229,-85.02800464,111.4416275
0,51,0,-28.1,0,0,1,8,3,11,7,6,-12,0,45,41,26.4136229,-83.02254366,109.4361666
0,52,0,-29.5,0,0,1,8,3,5,11.4,8.2,-15,0.632455532,45,41,26.4136229,-79.85360503,106.2672279
0,53,0,-30.9,0,0,1,8,3,7,10.2,6.2,-14.2,0.4,45,41,26.4136229,-80.8211583,107.2347812
0,54,0,-32.3,0,0,1,8,4,7,2,3,-14.4,0.8,45,41,26.4136229,-88.20423642,114.6178593
0,55,0,-33.8,0,0,1,8,3,10,7.6,5.4,-13.6,1.019803903,45,41,26.4136229,-82.77103862,109.1846615
0,56,0,-35.2,0,0,1,8,4,6,1.8,2.8,-15.2,1.939071943,45,41,26.4136229,-88.49011869,114.9037416
0,57,0,-36.6,0,0,1,8,4,4,5.4,4.4,-14,0.632455532,45,41,26.4136229,-84.75535193,111.1689748
0,58,0,-38,0,0,1,8,3,10,7,5,-14.8,1.326649916,45,41,26.4136229,-83.30086262,109.7144855
0,59,0,-39.4,0,0,1,8,2,7,16.2,11,-14.8,0.4,45,41,26.4136229,-74.59780168,101.0114246
0,60,0,-40.8,0,0,1,8,2,6,18,12,-14.2,0.4,45,41,26.4136229,-73.23165709,99.64527999
0,61,0,-42.2,0,0,1,8,3,7,10.8,6.8,-14.2,0.4,45,41,26.4136229,-80.8211583,107.2347812
0,62,0,-43.6,0,0,1,8,2,7,17.6,13.2,-13.8,0.4,45,41,26.4136229,-74.09247389,100.5060968
0,63,0,-45,0,0,1,8,2,8,17,12,-15,0,45,41,26.4136229,-75.42783595,101.8414589
0,0,0,0,0,0,1,8,4,11,-4,3,-14,0,45,42,26.4136229,-92.6072742,119.0208971
0,3,0,4.2,0,0,1,8,4,8,-1.4,3,-14.4,1.496662955,45,42,26.4136229,-89.51764969,115.9312726
0,4,0,5.6,0,0,1,8,4,5,3,2.8,-14.4,0.489897949,45,42,26.4136229,-86.25332616,112.6669491
0,5,0,7,0,0,1,8,4,11,-4,3,-11,0,45,42,26.4136229,-90.91193155,117.3255544
0,6,0,8.4,0,0,1,8,4,9,-1,3,-14.5,3.5,45,42,26.4136229,-91.06033462,117.4739575
0,7,0,9.8,0,0,1,8,4,6,3,3,-12,1.897366596,45,42,26.4136229,-85.95442891,112.3680518
0,8,0,11.2,0,0,1,8,4,9,-2.666666667,3,-14,2.160246899,45,42,26.4136229,-90.79477378,117.2083967
0,9,0,12.7,0,0,1,8,4,8,0,3,-14,0,45,42,26.4136229,-89.31821813,115.731841
0,10,0,14.1,0,0,1,8,4,8,3,2.6,-9.6,1.019803903,45,42,26.4136229,-86.3130639,112.7266868
0,11,0,15.5,0,0,1,8,4,7,2,2.6,-14.8,0.748331477,45,42,26.4136229,-88.32405925,114.7376822
0,12,0,16.9,0,0,1,8,4,11,-2,2.75,-13,1.58113883,45,42,26.4136229,-92.04215998,118.4557829
0,13,0,18.3,0,0,1,8,4,6,3.6,3,-14.8,0.979795897,45,42,26.4136229,-88.16228676,114.5759097
0,15,0,21.1,0,0,1,8,3,10,5.2,4,-17.2,0.748331477,45,42,26.4136229,-84.40150009,110.815123
0,16,0,22.5,0,0,1,8,4,5,2,3,-16.8,1.166190379,45,42,26.4136229,-88.01955742,114.4331803
0,17,0,23.9,0,0,1,8,4,8,1.8,2.8,-11.8,1.6,45,42,26.4136229,-87.83414288,114.2477658
0,20,0,28.1,0,0,1,8,4,12,-5,3,-12,0,45,42,26.4136229,-92.57964081,118.9932637
0,21,0,29.5,0,0,1,8,4,7,-0.4,3,-16.4,0.8,45,42,26.4136229,-89.31281914,115.726442
0,22,0,30.9,0,0,1,8,4,8,-0.2,3,-13.4,1.019803903,45,42,26.4136229,-88.90348863,115.3171115
0,23,0,32.3,0,0,1,8,4,6,2.6,2.8,-13.6,1.019803903,45,42,26.4136229,-87.21386298,113.6274859
0,24,0,33.8,0,0,1,8,4,6,3.4,3,-13.8,1.326649916,45,42,26.4136229,-87.37117807,113.784801
0,25,0,35.2,0,0,1,8,4,9,-0.4,3,-14.2,0.4,45,42,26.4136229,-90.90099812,117.314621
0,26,0,36.6,0,0,1,8,3,11,5.8,4.6,-15.2,0.4,45,42,26.4136229,-84.5505669,110.9641898
