Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
45,-45,-135,45,-45,-45,-135,-135,-135,-135,135,135,45,-135,45,-45,135,-45,135,-135,-135,-45,135,-135,-45,45,135,-135,135,-45,-45,-45,45,-45,135,135
45,-45,135,-135,135,-135,135,-135,-135,-45,-45,135,-135,-135,135,135,45,-135,-135,-135,-45,-45,45,-45,-135,-45,-135,45,-135,135,135,135,-45,135,-45,-45
45,135,-45,-135,135,-135,135,-135,135,-45,135,45,45,45,45,135,-45,-45,45,-135,-45,45,-45,45,-45,-135,45,135,-135,45,45,-45,45,-45,-135,135
45,-45,-135,-135,-135,-135,135,-45,45,-135,-135,135,-135,-45,-45,-135,-135,45,-45,135,-135,-135,135,45,-45,-45,135,-135,-45,-45,-135,-135,45,135,45,135
-45,45,45,-135,45,135,-135,135,-45,135,-45,45,-45,135,-135,135,-45,45,45,135,-135,-45,45,-135,-135,45,45,-135,-135,135,-45,-135,45,-45,-45,135
-45,-45,-135,45,-45,45,-135,-135,-45,-135,45,-135,45,45,-45,135,135,-135,45,135,135,135,-45,135,-135,135,-135,-45,-45,135,45,-135,-135,45,135,135
135,135,135,-135,135,135,-45,-45,-45,-45,135,135,135,-135,45,-135,-135,45,-135,135,-45,-135,135,-45,45,45,-135,-135,135,135,-45,135,-135,-45,45,-135
45,-45,135,-45,135,-45,-135,-45,-45,-135,-45,-135,45,135,-45,-45,-45,135,-135,45,135,135,45,135,-45,-135,45,135,-135,-45,45,-45,45,-135,45,-45
-45,-45,-135,-45,-135,-45,135,-135,45,135,-45,-45,-45,-135,-45,-45,-45,-45,-45,45,135,45,-45,-135,-135,135,-135,-135,135,135,45,-45,45,-135,-45,-135
45,-45,45,-135,45,-45,-135,-45,45,135,-135,45,-135,-45,-45,-45,45,-45,135,-45,135,45,-135,-45,45,-135,-135,135,-135,-45,45,45,-135,135,135,45
-45,-45,135,-45,-135,-45,135,-135,-135,135,-135,-45,-135,45,45,45,-135,135,45,-135,135,-45,-135,45,135,-135,-45,135,45,-135,45,45,135,135,-135,135
-135,-45,135,135,45,45,45,-45,-135,-135,-45,-135,45,45,45,-45,-135,-45,-45,-45,-135,135,-135,135,-135,45,-45,135,-135,-45,135,45,-135,-135,45,45
-45,-45,135,-45,-135,45,135,-45,-45,-135,45,45,45,45,135,-45,45,45,-135,-135,45,135,45,-135,-135,-45,135,135,-135,-45,135,45,45,-135,-135,45
135,-45,-135,-45,-135,45,45,45,135,135,-45,-135,-45,-135,135,135,45,-135,135,-135,-135,-135,-45,-45,-135,-135,45,45,45,-45,-135,-45,135,-45,-45,45
-135,45,-45,45,135,-45,-135,-45,45,-135,45,45,-135,135,135,135,135,-135,-45,-45,45,-45,45,135,45,135,-135,45,-135,135,135,-135,45,45,45,45
45,135,135,-45,45,45,-135,-135,45,-135,45,-135,45,-135,-45,135,135,-135,45,-45,-135,-45,45,-135,-45,45,-45,135,45,-135,45,135,135,-45,-135,-45
45,45,45,135,-135,-135,-135,-45,-135,135,135,135,-45,135,45,135,135,135,45,-135,-45,45,45,-135,-135,135,135,135,45,45,-45,-45,135,45,-135,-135
-45,135,-45,-45,135,135,45,45,45,135,-135,45,-135,-45,45,135,-135,45,135,45,-135,-135,135,45,-135,-45,-45,45,45,135,-135,135,135,135,45,-135
45,135,135,-45,-135,-135,-45,-45,45,135,45,135,-135,-135,-45,-135,45,-45,135,-45,-45,-45,-135,45,135,45,45,-135,45,-45,135,-45,-135,135,-45,135
135,135,-45,-45,135,45,135,135,135,-135,-45,135,135,45,-135,-135,-135,-135,-45,135,45,135,45,135,-135,135,-45,135,135,-45,45,-45,-45,-135,-45,135
135,-45,45,135,-135,-45,45,-45,-135,-45,45,135,-135,-45,45,-45,-135,45,-135,-45,-135,135,45,-45,-45,-45,135,45,135,-45,45,-45,-135,45,45,-45
135,45,-45,45,-135,-45,-45,135,-45,45,135,45,45,-45,135,-45,-45,-45,-45,45,-45,-45,135,-45,45,135,45,45,-45,-135,-45,135,45,-135,-135,-135
135,-135,-45,-135,-135,45,45,-45,-135,-135,-45,135,-45,45,-45,45,-135,-135,-135,-135,-45,135,45,-45,-135,-45,45,45,135,-45,45,-45,-45,135,-45,-135
45,135,-45,-135,-45,135,-45,-45,-45,45,-45,-135,-45,45,45,45,-45,-45,-135,-135,-45,-45,45,-135,-135,45,-135,135,135,135,45,-45,-135,-135,135,45
-135,-45,-135,135,-45,45,135,-135,45,-135,135,-135,-45,135,135,-135,-45,-45,-135,-135,-135,45,-45,45,45,-45,45,45,-135,45,45,45,135,-45,45,-45
-45,-45,-135,-45,45,-45,-45,-45,-45,-135,-135,-45,-45,-135,-135,135,-135,45,135,-135,45,-135,-45,-135,45,-45,-45,-135,45,135,135,45,-45,-135,135,-135
135,45,-45,-135,45,-45,45,-135,135,-135,-45,45,45,-135,135,-135,45,-135,-45,45,-45,135,135,45,-45,-135,45,45,45,45,45,-135,135,45,-135,-135
-45,135,135,-45,135,-45,135,135,-45,-135,-45,135,45,-135,135,-45,45,-45,45,-45,-45,-135,135,135,45,-135,135,-135,-135,135,135,45,45,-45,-135,45
-135,135,135,-45,45,135,135,-135,135,135,135,135,45,-45,-135,-135,135,-45,45,-45,-45,135,45,-135,45,-45,45,45,-135,135,-45,-45,45,135,45,-45
-45,45,-135,45,-135,135,-45,45,45,-135,135,-135,45,135,-135,135,135,45,135,135,45,135,-45,-45,45,135,-135,-135,-45,135,-135,45,45,-45,135,135
-45,-135,-45,45,-45,45,-45,45,-135,135,135,45,-45,-45,135,-45,45,-135,45,135,45,135,-135,-45,45,-135,-45,-45,45,135,-45,-45,-135,135,-135,-135
-45,45,45,-45,135,-45,-45,135,45,-45,45,-45,-45,-135,-45,-135,45,-45,45,45,-45,-135,45,135,-45,-135,-45,-45,135,45,-45,-135,-45,135,-45,-135
135,-135,-45,-45,135,-135,-45,135,-135,-45,135,-45,-45,45,135,-45,135,-135,-45,135,-135,-45,-45,-45,-45,-135,45,45,-45,-135,45,135,-135,45,135,-45
-45,-135,-135,-135,-45,135,-135,-135,135,45,135,-135,-45,45,-135,135,-135,45,-135,135,-45,135,-45,135,-135,-135,135,-45,-135,45,45,-45,-135,45,-45,-135
135,135,135,-45,45,45,135,45,45,45,-135,-135,135,135,135,-45,45,-45,135,-45,-135,45,-45,-135,-135,-135,45,-45,135,45,-45,135,-45,-135,-45,135
135,135,-45,-135,45,-135,-45,-45,-45,-45,-45,-45,-45,-45,-45,-135,-45,-135,135,-45,-45,-45,-45,135,-135,135,-45,135,45,135,-135,45,-45,-135,135,45
