tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,1,0,0,0,0,1,15,4,10,-1.5,3,-14,0,51,48,34.29116888,-91.15335385,125.4445227
0,4,0,0,0,0,1,15,4,11,-4,3,-14,0,51,48,34.29116888,-91.92462622,126.2157951
0,40,0,0,0,0,1,15,4,10,0,3,-15,0,51,48,34.29116888,-91.71316165,126.0043305
0,53,0,0,0,0,1,15,4,11,-4,3,-14,0,51,48,34.29116888,-91.92462622,126.2157951
0,64,0,0,0,0,1,15,4,6,3.333333333,3,-14.33333333,0.942809042,51,48,34.29116888,-86.80081953,121.0919884
0,68,0,0,0,0,1,15,3,10,6,5,-16,0,51,48,34.29116888,-83.27014463,117.5613135
0,69,0,0,0,0,1,15,4,10,1,3,-13,0,51,48,34.29116888,-90.59354605,124.8847149
0,71,0,0,0,0,1,15,3,13,6,5,-13,0,51,48,34.29116888,-84.16039927,118.4515681
0,72,0,0,0,0,1,15,4,7,2,3,-18,0,51,48,34.29116888,-89.52331803,123.8144869
0,73,0,0,0,0,1,15,3,11,7,5,-15,0,51,48,34.29116888,-83.81359296,118.1047618
0,74,0,0,0,0,1,15,4,5,7,5,-14,0,51,48,34.29116888,-85.0334113,119.3245802
0,75,0,0,0,0,1,15,4,9,1,3,-14,0,51,48,34.29116888,-90.13537059,124.4265395
0,79,0,0,0,0,1,15,4,7,4,3,-13,0,51,48,34.29116888,-86.39287059,120.6840395
0,80,0,0,0,0,1,15,3,13,5,4,-11,0,51,48,34.29116888,-83.24265424,117.5338231
0,81,0,0,0,0,1,15,4,7,3.5,3,-15,0,51,48,34.29116888,-87.6548352,121.9460041
0,83,0,0,0,0,1,15,4,5,5,4,-15,0,51,48,34.29116888,-85.77929774,120.0704666
0,84,0,0,0,0,1,15,4,9,1.5,3,-13.5,0.5,51,48,34.29116888,-89.86980974,124.1609786
0,86,0,0,0,0,1,15,4,10,0,3,-12,0,51,48,34.29116888,-90.03373825,124.3249071
0,87,0,0,0,0,1,15,4,6,5,4,-14,0,51,48,34.29116888,-86.53862772,120.8297966
0,88,0,0,0,0,1,15,4,9,-1,3,-18,0,51,48,34.29116888,-92.25985736,126.5510262
0,89,0,0,0,0,1,15,4,8,-1,3,-17,0,51,48,34.29116888,-90.325732,124.6169009
0,90,0,0,0,0,1,15,4,9,0,3,-12,0,51,48,34.29116888,-89.02914656,123.3203154
0,91,0,0,0,0,1,15,3,10,7,6,-14,0,51,48,34.29116888,-82.41095949,116.7021284
0,92,0,0,0,0,1,15,4,12,-1,3,-10,0,51,48,34.29116888,-90.84086377,125.1320326
0,93,0,0,0,0,1,15,4,10,2,3,-10,0,51,48,34.29116888,-88.77243551,123.0636044
0,94,0,0,0,0,1,15,4,5,6,4,-13,0,51,48,34.29116888,-84.26294105,118.5541099
0,95,0,0,0,0,1,15,4,12,0,3,-9,0,51,48,34.29116888,-90.29515776,124.5863266
0,96,0,0,0,0,1,15,4,11,-4,3,-13,0,51,48,34.29116888,-91.359512,125.6506809
0,97,0,0,0,0,1,15,4,8,3,2,-14,0,51,48,34.29116888,-88.48988073,122.7810496
0,98,0,0,0,0,1,15,4,7,3,3,-18,0,51,48,34.29116888,-89.52331803,123.8144869
0,99,0,0,0,0,1,15,4,10,-2,1.5,-15,1,51.5,48.5,34.29436768,-91.65594634,125.950314
0,1,0,0,0,0,1,15,4,8,1,3,-15,0,52,49,34.29756649,-89.03251767,123.3300842
0,8,0,0,0,0,1,15,4,12,-5,3,-14,0,52,49,34.29756649,-92.91579361,127.2133601
0,12,0,0,0,0,1,15,4,7,-4,3,-20,0,52,49,34.29756649,-90.58250404,124.8800705
0,39,0,0,0,0,1,15,4,10,0,3,-12.5,0.5,52,49,34.29756649,-90.19921153,124.496778
0,60,0,0,0,0,1,15,4,11,-6,3,-14,0,52,49,34.29756649,-91.81085156,126.108418
0,64,0,0,0,0,1,15,4,6,4,3.5,-13.5,1.5,52,49,34.29756649,-85.96847886,120.2660453
0,67,0,0,0,0,1,15,4,5,3,3,-17,0,52,49,34.29756649,-87.08780122,121.3853677
0,68,0,0,0,0,1,15,3,9,8,5,-15,0,52,49,34.29756649,-82.00144572,116.2990122
0,69,0,0,0,0,1,15,4,11,1,3,-8,0,52,49,34.29756649,-88.03988445,122.3374509
0,71,0,0,0,0,1,15,4,6,4,4,-15,0,52,49,34.29756649,-87.15947003,121.4570365
0,72,0,0,0,0,1,15,4,9,1,3,-14,0,52,49,34.29756649,-90.02547005,124.3230365
0,73,0,0,0,0,1,15,3,10,9,6,-13,0,52,49,34.29756649,-81.9053789,116.2029454
0,74,0,0,0,0,1,15,3,13,7,5,-13,0,52,49,34.29756649,-84.07752892,118.3750954
0,75,0,0,0,0,1,15,4,7,3,2,-18,0,52,49,34.29756649,-89.39898913,123.6965556
0,76,0,0,0,0,1,15,4,8,0,3,-16,0,52,49,34.29756649,-89.62859556,123.926162
0,79,0,0,0,0,1,15,4,4,6,3,-16,0,52,49,34.29756649,-85.04817597,119.3457425
0,80,0,0,0,0,1,15,3,11,6,3,-16,0,52,49,34.29756649,-84.20472956,118.502296
0,81,0,0,0,0,1,15,4,7,4,3,-14,0,52,49,34.29756649,-86.89128281,121.1888493
0,82,0,0,0,0,1,15,4,6,4,3,-17,0,52,49,34.29756649,-88.73262089,123.0301874
0,83,0,0,0,0,1,15,3,13,6,4,-10,0,52,49,34.29756649,-82.70594456,117.003511
0,84,0,0,0,0,1,15,4,6,3.5,3.5,-16,2,52,49,34.29756649,-87.8924181,122.1899846
0,86,0,0,0,0,1,15,4,10,0,3,-11,0,52,49,34.29756649,-89.35949984,123.6570663
0,87,0,0,0,0,1,15,4,7,4,4,-13,0,52,49,34.29756649,-86.26030051,120.557867
0,88,0,0,0,0,1,15,4,11,-1,3,-15,0,52,49,34.29756649,-92.37596578,126.6735323
0,90,0,0,0,0,1,15,4,5,3,3,-15,0,52,49,34.29756649,-85.62529679,119.9228633
0,91,0,0,0,0,1,15,3,9,8,5,-15,0,52,49,34.29756649,-82.00144572,116.2990122
0,92,0,0,0,0,1,15,4,8,1,3,-15,0,52,49,34.29756649,-89.03251767,123.3300842
0,93,0,0,0,0,1,15,4,10,3,3,-9,0,52,49,34.29756649,-87.7003559,121.9979224
0,94,0,0,0,0,1,15,4,6,6,4,-12,0,52,49,34.29756649,-84.77748769,119.0750542
0,95,0,0,0,0,1,15,4,8,2.5,3,-15,2,52,49,34.29756649,-88.93304228,123.2306088
0,98,0,0,0,0,1,15,4,6,2,3,-15,0,52,49,34.29756649,-87.15947003,121.4570365
0,99,0,0,0,0,1,15,4,10,-1,3,-18,0,52,49,34.29756649,-93.27815442,127.5757209
0,1,0,0,0,0,1,15,4,9,2,3,-11,0,51,49,34.29116888,-88.04057732,122.3317462
0,7,0,0,0,0,1,15,4,11,-4,2,-15,0,51,49,34.29116888,-92.37596578,126.6671347
0,8,0,0,0,0,1,15,4,9,-4,2,-18,0,51,49,34.29116888,-92.14995682,126.4411257
0,13,0,0,0,0,1,15,0,0,-3,3,-12,0,51,49,34.29116888,nan,nan
0,26,0,0,0,0,1,15,4,11,-7,3,-15,0,51,49,34.29116888,-92.37596578,126.6671347
0,39,0,0,0,0,1,15,4,7,0,3,-14,0,51,49,34.29116888,-86.89128281,121.1824517
0,40,0,0,0,0,1,15,4,10,0,3,-15,0,51,49,34.29116888,-91.59873103,125.8898999
0,64,0,0,0,0,1,15,3,11,4,4,-15,0,51,49,34.29116888,-83.73452213,118.025691
0,65,0,0,0,0,1,15,4,5,5,4,-14,0,51,49,34.29116888,-84.88008963,119.1712585
0,67,0,0,0,0,1,15,4,7,0,3,-17,0,51,49,34.29116888,-88.78422972,123.0753986
0,68,0,0,0,0,1,15,3,7,10,7,-15,0,51,49,34.29116888,-80.57185437,114.8630233
0,69,0,0,0,0,1,15,4,7,3,3,-15,0,51,49,34.29116888,-87.52226511,121.813434
0,71,0,0,0,0,1,15,4,6,3,3,-18,0,51,49,34.29116888,-89.41194161,123.7031105
0,72,0,0,0,0,1,15,4,9,2,3,-14,0,51,49,34.29116888,-90.02547005,124.3166389
0,73,0,0,0,0,1,15,3,8,10,6,-15,0,51,49,34.29116888,-81.29684345,115.5880123
0,74,0,0,0,0,1,15,4,6,7,5,-11,0,51,49,34.29116888,-84.01145464,118.3026235
0,75,0,0,0,0,1,15,4,5,4,3,-16,0,51,49,34.29116888,-86.356549,120.6477179
0,76,0,0,0,0,1,15,3,14,4,3,-12,0,51,49,34.29116888,-85.66056475,119.9517336
0,77,0,0,0,0,1,15,4,11,-3,3,-14,0,51,49,34.29116888,-91.81085156,126.1020204
0,79,0,0,0,0,1,15,4,4,7,4,-14,0,51,49,34.29116888,-83.7638322,118.0550011
0,80,0,0,0,0,1,15,3,10,5,4,-18,0,51,49,34.29116888,-84.05334174,118.3445106
0,81,0,0,0,0,1,15,4,6,4,3,-14.5,0.5,51,49,34.29116888,-86.76618231,121.0573512
0,83,0,0,0,0,1,15,3,12,6,5,-13,0,51,49,34.29116888,-83.78150097,118.0726698
0,84,0,0,0,0,1,15,3,11,8,5,-14,0,51,49,34.29116888,-83.28634043,117.5775093
0,85,0,0,0,0,1,15,4,6,5,3,-13,0,51,49,34.29116888,-85.58631917,119.877488
0,86,0,0,0,0,1,15,4,9,0,3,-16,0,51,49,34.29116888,-91.08771344,125.3788823
0,87,0,0,0,0,1,15,4,6,4,3,-15,0,51,49,34.29116888,-87.15947003,121.4506389
0,88,0,0,0,0,1,15,4,10,-2,3,-16,0,51,49,34.29116888,-92.15853883,126.4497077
0,89,0,0,0,0,1,15,4,9,0,3,-15,0,51,49,34.29116888,-90.55659175,124.8477606
0,90,0,0,0,0,1,15,3,9,8,5,-16,2,51,49,34.29116888,-82.41741295,116.7085818
0,92,0,0,0,0,1,15,4,7,4,3,-13,0,51,49,34.29116888,-86.26030051,120.5514694
0,94,0,0,0,0,1,15,3,14,5,3,-12,0,51,49,34.29116888,-85.66056475,119.9517336
