tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,0,0,0,0,0,1,15,4,9,-2,3,-15,0,41,43,34.22719283,-91.21599494,125.4431878
0,1,0,0,0,0,1,15,4,6,2,3,-16,0,41,43,34.22719283,-88.94044416,123.167637
0,2,0,0,0,0,1,15,4,5,5,3,-15,0,41,43,34.22719283,-86.54930248,120.7764953
0,3,0,0,0,0,1,15,4,7,1,3,-12,0,41,43,34.22719283,-86.42473872,120.6519316
0,4,0,0,0,0,1,15,4,10,-3,3,-15,0,41,43,34.22719283,-92.28531474,126.5125076
0,5,0,0,0,0,1,15,4,12,-3,3,-11,0,41,43,34.22719283,-91.92604063,126.1532335
0,6,0,0,0,0,1,15,4,7,1,3,-17,0,41,43,34.22719283,-89.55320508,123.7803979
0,7,0,0,0,0,1,15,4,8,0,3,-15,0,41,43,34.22719283,-89.77448891,124.0016817
0,14,0,0,0,0,1,15,4,11,-6,3,-12,0,41,43,34.22719283,-91.3632711,125.5904639
0,16,0,0,0,0,1,15,4,7,-1,3,-14,0,41,43,34.22719283,-87.68670332,121.9138962
0,17,0,0,0,0,1,15,4,8,-2,3,-16,0,41,43,34.22719283,-90.35119252,124.5783854
0,29,0,0,0,0,1,15,4,9,-3,3,-18,0,41,43,34.22719283,-92.80936002,127.0365529
0,34,0,0,0,0,1,15,4,13,-2,3,-11,0,41,43,34.22719283,-92.78987921,127.017072
0,35,0,0,0,0,1,15,3,10,8,5,-15,0,41,43,34.22719283,-83.22049217,117.447685
0,36,0,0,0,0,1,15,4,5,6,4,-14,0,41,43,34.22719283,-85.80001965,120.0272125
0,38,0,0,0,0,1,15,4,10,0,3,-13,0,41,43,34.22719283,-91.16569915,125.392892
0,41,0,0,0,0,1,15,4,8,-1,3,-18,0,41,43,34.22719283,-91.50459974,125.7317926
0,42,0,0,0,0,1,15,4,7,1,3,-14,0,41,43,34.22719283,-87.68670332,121.9138962
0,44,0,0,0,0,1,15,4,9,1,2,-13,0,41,43,34.22719283,-90.15375155,124.3809444
0,47,0,0,0,0,1,15,4,9,-4,3,-16,0,41,43,34.22719283,-91.74711663,125.9743095
0,50,0,0,0,0,1,15,4,13,-7,3,-10,0,41,43,34.22719283,-92.20852894,126.4357218
0,52,0,0,0,0,1,15,4,10,-2,3,-14,0,41,43,34.22719283,-91.72550694,125.9526998
0,54,0,0,0,0,1,15,4,6,1,3,-18,0,41,43,34.22719283,-90.11409801,124.3412908
0,55,0,0,0,0,1,15,4,5,3,4,-15,0,41,43,34.22719283,-86.54930248,120.7764953
0,57,0,0,0,0,1,15,4,8,1,2,-17,0,41,43,34.22719283,-90.92789613,125.155089
0,60,0,0,0,0,1,15,4,10,-2,3,-14,0,41,43,34.22719283,-91.72550694,125.9526998
0,61,0,0,0,0,1,15,4,6,4,3,-15,0,41,43,34.22719283,-88.15386873,122.3810616
0,62,0,0,0,0,1,15,3,4,12,8,-15,0,41,43,34.22719283,-78.56416539,112.7913582
0,63,0,0,0,0,1,15,3,7,11,8,-14,0,41,43,34.22719283,-80.58605897,114.8132518
0,64,0,0,0,0,1,15,3,10,6,5,-14,0,41,43,34.22719283,-82.7908996,117.0180924
0,65,0,0,0,0,1,15,3,8,10,7,-13,0,41,43,34.22719283,-80.87520535,115.1023982
0,66,0,0,0,0,1,15,3,8,9,6,-14,0,41,43,34.22719283,-81.32173067,115.5489235
0,67,0,0,0,0,1,15,2,10,14,10,-16,0,41,43,34.22719283,-77.6171055,111.8442983
0,68,0,0,0,0,1,15,2,11,13,9,-15,0,41,43,34.22719283,-78.29572618,112.522919
0,69,0,0,0,0,1,15,3,11,8,7,-13,0,41,43,34.22719283,-83.3125837,117.5397765
